"Title","LFS: ILO unemployment rate: West Midlands: All: %: SA"
"2008 APR","6.1"
"2008 MAY","6.3"
"2008 JUN","6.2"
"2008 JUL","6.3"
"2008 AUG","6.6"
"2008 SEP","7.0"
"2008 OCT","7.2"
"2008 NOV","7.8"
"2008 DEC","8.1"
"2009 JAN","8.4"
"2009 FEB","9.2"
"2009 MAR","9.4"
"2009 APR","10.3"
"2009 MAY","10.7"
"2009 JUN","10.5"
"2009 JUL","10.5"
"2009 AUG","10.0"
"2009 SEP","10.0"
"2009 OCT","9.4"
"2009 NOV","9.0"
"2009 DEC","9.1"
"2010 JAN","9.1"
"2010 FEB","9.2"
"2010 MAR","9.1"
"2010 APR","8.8"
"2010 MAY","8.4"
"2010 JUN","8.4"
"2010 JUL","8.2"
"2010 AUG","8.9"
"2010 SEP","8.8"
"2010 OCT","9.7"
"2010 NOV","9.6"
"2010 DEC","9.8"
"2011 JAN","9.6"
"2011 FEB","9.6"
"2011 MAR","9.0"
"2011 APR","8.6"
"2011 MAY","8.5"
"2011 JUN","9.0"
"2011 JUL","9.0"
"2011 AUG","8.9"
"2011 SEP","9.2"
"2011 OCT","9.2"
"2011 NOV","9.3"
"2011 DEC","9.0"
"2012 JAN","8.9"
"2012 FEB","8.6"
"2012 MAR","8.4"
"2012 APR","8.6"
"2012 MAY","8.7"
"2012 JUN","8.7"
"2012 JUL","8.6"
"2012 AUG","8.5"
"2012 SEP","8.8"
"2012 OCT","9.1"
"2012 NOV","8.9"
"2012 DEC","8.9"
"2013 JAN","9.3"
"2013 FEB","9.4"
"2013 MAR","9.5"
"2013 APR","9.8"
"2013 MAY","9.8"
"2013 JUN","9.7"
"2013 JUL","9.3"
"2013 AUG","9.3"
"2013 SEP","8.9"
"2013 OCT","8.2"
"2013 NOV","8.4"
"2013 DEC","8.2"
"2014 JAN","8.3"
"2014 FEB","7.8"
"2014 MAR","7.4"
"2014 APR","7.5"
"2014 MAY","7.7"
"2014 JUN","7.2"
"2014 JUL","7.5"
"2014 AUG","7.2"
"2014 SEP","6.9"
"2014 OCT","6.2"
"2014 NOV","6.1"
"2014 DEC","6.4"
"2015 JAN","6.3"
"2015 FEB","6.4"
"2015 MAR","6.3"
"2015 APR","6.0"
"2015 MAY","6.1"
"2015 JUN","5.7"
"2015 JUL","6.1"
"2015 AUG","5.8"
"2015 SEP","5.7"
"2015 OCT","5.6"
"2015 NOV","5.1"
"2015 DEC","5.4"
"2016 JAN","5.5"
"2016 FEB","5.6"
"2016 MAR","5.7"
"2016 APR","5.9"
"2016 MAY","6.2"
"2016 JUN","6.3"
"2016 JUL","6.1"
"2016 AUG","5.5"
"2016 SEP","5.3"
"2016 OCT","5.4"
"2016 NOV","5.6"
"2016 DEC","5.5"
"2017 JAN","5.6"
"2017 FEB","5.7"
"2017 MAR","5.9"
"2017 APR","6.0"
"2017 MAY","5.9"
"2017 JUN","5.9"
"2017 JUL","5.4"
"2017 AUG","5.6"
"2017 SEP","5.2"
"2017 OCT","5.2"
"2017 NOV","5.1"
"2017 DEC","4.7"
"2018 JAN","4.9"
"2018 FEB","4.8"
"2018 MAR","5.1"
"2018 APR","4.9"
"2018 MAY","4.7"
"2018 JUN","4.8"
"2018 JUL","4.9"
"2018 AUG","5.0"
"2018 SEP","5.1"
"2018 OCT","5.0"
"2018 NOV","5.2"
"2018 DEC","5.1"
"2019 JAN","5.2"
"2019 FEB","5.1"
"2019 MAR","5.0"
"2019 APR","4.8"
"2019 MAY","4.6"
"2019 JUN","4.2"
"2019 JUL","4.0"
"2019 AUG","4.1"
"2019 SEP","4.5"
"2019 OCT","4.3"
"2019 NOV","4.4"
"2019 DEC","4.5"
"2020 JAN","4.8"
"2020 FEB","5.0"
"2020 MAR","4.9"
"2020 APR","5.0"
"2020 MAY","4.7"
"2020 JUN","4.7"
"2020 JUL","4.8"
"2020 AUG","5.1"
"2020 SEP","5.6"
"2020 OCT","6.2"
"2020 NOV","6.3"
"2020 DEC","6.2"
"2021 JAN","5.8"
"2021 FEB","6.1"
"2021 MAR","6.0"
"2021 APR","5.7"
"2021 MAY","5.1"
"2021 JUN","5.2"
"2021 JUL","4.9"
"2021 AUG","4.9"
"2021 SEP","4.7"
"2021 OCT","4.6"
"2021 NOV","4.9"
"2021 DEC","5.0"
"2022 JAN","5.1"
"2022 FEB","4.6"
"2022 MAR","4.5"
"2022 APR","4.4"
